id,source_file,source_line,section,claim,status,severity,categories,equivalent_components,evidence_required,remediation
CLAIM-0001,todo.md,4,NEXCOM Exchange — Full Platform TODO > Infrastructure (Completed),Restore v53 archive from backup,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0001. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0002,todo.md,5,NEXCOM Exchange — Full Platform TODO > Infrastructure (Completed),Install PostgreSQL 14 + PostGIS 3.2,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0002. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0003,todo.md,6,NEXCOM Exchange — Full Platform TODO > Infrastructure (Completed),Run full schema migration (105 tables),blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0003. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0004,todo.md,7,NEXCOM Exchange — Full Platform TODO > Infrastructure (Completed),Fix HAManager dev mode bypass,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0004. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0005,todo.md,8,NEXCOM Exchange — Full Platform TODO > Infrastructure (Completed),Server running on port 3000,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0005. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0006,todo.md,11,NEXCOM Exchange — Full Platform TODO > Phase 1 — Core Exchange Parity,"Commodity Price Indices Go microservice (NAXI, NGGI, AOXI, WACCI indices)",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0006. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0007,todo.md,12,NEXCOM Exchange — Full Platform TODO > Phase 1 — Core Exchange Parity,Fixed Income Board — tRPC router + UI page,blocked,high,api-and-integration | client-experience,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0007. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0008,todo.md,13,NEXCOM Exchange — Full Platform TODO > Phase 1 — Core Exchange Parity,"Sub-Broker Program — registration, commission tracking, client management",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0008. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0009,todo.md,14,NEXCOM Exchange — Full Platform TODO > Phase 1 — Core Exchange Parity,Commodity Index DB schema tables,blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0009. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0010,todo.md,15,NEXCOM Exchange — Full Platform TODO > Phase 1 — Core Exchange Parity,Fixed Income instruments DB schema,blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0010. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
